player,salary,season,season_end,season_start,team
Stephen Curry,2710560,2009-10,2010,2009,Golden State Warriors
Stephen Curry,2913840,2010-11,2011,2010,Golden State Warriors
Stephen Curry,3117120,2011-12,2012,2011,Golden State Warriors
Stephen Curry,3958742,2012-13,2013,2012,Golden State Warriors
Stephen Curry,9887642,2013-14,2014,2013,Golden State Warriors
Stephen Curry,10629213,2014-15,2015,2014,Golden State Warriors
Stephen Curry,11370786,2015-16,2016,2015,Golden State Warriors
Stephen Curry,12112359,2016-17,2017,2016,Golden State Warriors
Stephen Curry,34682550,2017-18,2018,2017,Golden State Warriors
Rastko Cvetkovic,200000,1995-96,1996,1995,Denver Nuggets
Quintin Dailey,410000,1984-85,1985,1984,Chicago Bulls
Quintin Dailey,325000,1985-86,1986,1985,Chicago Bulls
Quintin Dailey,135000,1987-88,1988,1987,Los Angeles Clippers
Quintin Dailey,425000,1988-89,1989,1988,Los Angeles Clippers
Quintin Dailey,425000,1990-91,1991,1990,Seattle SuperSonics
Quintin Dailey,425000,1991-92,1992,1991,Seattle SuperSonics
Samuel Dalembert,771480,2001-02,2002,2001,Philadelphia 76ers
Samuel Dalembert,691100,2002-03,2003,2002,Philadelphia 76ers
Samuel Dalembert,887160,2003-04,2004,2003,Philadelphia 76ers
Samuel Dalembert,1599549,2004-05,2005,2004,Philadelphia 76ers
Samuel Dalembert,8470000,2005-06,2006,2005,Philadelphia 76ers
Samuel Dalembert,9464307,2006-07,2007,2006,Philadelphia 76ers
Samuel Dalembert,10250000,2007-08,2008,2007,Philadelphia 76ers
Samuel Dalembert,11238564,2008-09,2009,2008,Philadelphia 76ers
Samuel Dalembert,12025694,2009-10,2010,2009,Philadelphia 76ers
Samuel Dalembert,13428129,2010-11,2011,2010,Sacramento Kings
Samuel Dalembert,7000000,2011-12,2012,2011,Houston Rockets
Samuel Dalembert,6698565,2012-13,2013,2012,Milwaukee Bucks
Samuel Dalembert,3700748,2013-14,2014,2013,Dallas Mavericks
Samuel Dalembert,3867282,2014-15,2015,2014,New York Knicks
Samuel Dalembert,1499187,2015-16,2016,2015,Dallas Mavericks
Erick Dampier,1184000,1996-97,1997,1996,Indiana Pacers
Erick Dampier,1478880,1997-98,1998,1997,Golden State Warriors
Erick Dampier,1538000,1998-99,1999,1998,Golden State Warriors
Erick Dampier,4988000,1999-00,2000,1999,Golden State Warriors
Erick Dampier,5610000,2000-01,2001,2000,Golden State Warriors
Erick Dampier,6235000,2001-02,2002,2001,Golden State Warriors
Erick Dampier,6858500,2002-03,2003,2002,Golden State Warriors
Erick Dampier,7842000,2003-04,2004,2003,Golden State Warriors
Erick Dampier,7700000,2004-05,2005,2004,Dallas Mavericks
Erick Dampier,8662500,2005-06,2006,2005,Dallas Mavericks
Erick Dampier,9628000,2006-07,2007,2006,Dallas Mavericks
Erick Dampier,10590500,2007-08,2008,2007,Dallas Mavericks
Erick Dampier,11553000,2008-09,2009,2008,Dallas Mavericks
Erick Dampier,12115500,2009-10,2010,2009,Dallas Mavericks
Erick Dampier,1129469,2010-11,2011,2010,Miami Heat
Erick Dampier,850522,2011-12,2012,2011,Atlanta Hawks
Antonio Daniels,2149920,1997-98,1998,1997,Vancouver Grizzlies
Antonio Daniels,2472000,1998-99,1999,1998,San Antonio Spurs
Antonio Daniels,2794920,1999-00,2000,1999,San Antonio Spurs
Antonio Daniels,2820000,2000-01,2001,2000,San Antonio Spurs
Antonio Daniels,3000000,2001-02,2002,2001,San Antonio Spurs
Antonio Daniels,3375000,2002-03,2003,2002,Portland Trail Blazers
Antonio Daniels,2200000,2003-04,2004,2003,Seattle SuperSonics
Antonio Daniels,2200000,2004-05,2005,2004,Seattle SuperSonics
Antonio Daniels,5000000,2005-06,2006,2005,Washington Wizards
Antonio Daniels,5400000,2006-07,2007,2006,Washington Wizards
Antonio Daniels,5800000,2007-08,2008,2007,Washington Wizards
Antonio Daniels,6200000,2008-09,2009,2008,New Orleans Hornets
Antonio Daniels,5863580,2009-10,2010,2009,Minnesota Timberwolves
Erik Daniels,385277,2004-05,2005,2004,Sacramento Kings
Lloyd Daniels,140000,1992-93,1993,1992,San Antonio Spurs
Lloyd Daniels,182000,1993-94,1994,1993,San Antonio Spurs
Lloyd Daniels,250000,1994-95,1995,1994,San Antonio Spurs
Lloyd Daniels,11400,1994-95,1995,1994,Philadelphia 76ers
Lloyd Daniels,184100,1996-97,1997,1996,New Jersey Nets
Marquis Daniels,366931,2003-04,2004,2003,Dallas Mavericks
Marquis Daniels,4903000,2004-05,2005,2004,Dallas Mavericks
Marquis Daniels,5393300,2005-06,2006,2005,Dallas Mavericks
Marquis Daniels,5883600,2006-07,2007,2006,Indiana Pacers
Marquis Daniels,6373900,2007-08,2008,2007,Indiana Pacers
Marquis Daniels,6864200,2008-09,2009,2008,Indiana Pacers
Marquis Daniels,1990000,2009-10,2010,2009,Boston Celtics
Marquis Daniels,2470000,2010-11,2011,2010,Sacramento Kings
Marquis Daniels,1223166,2011-12,2012,2011,Boston Celtics
Marquis Daniels,1229255,2012-13,2013,2012,Milwaukee Bucks
Troy Daniels,816482,2014-15,2015,2014,Charlotte Hornets
Troy Daniels,947276,2015-16,2016,2015,Charlotte Hornets
Troy Daniels,3332940,2016-17,2017,2016,Memphis Grizzlies
Troy Daniels,3408520,2017-18,2018,2017,Phoenix Suns
Sasha Danilovic,1455000,1995-96,1996,1995,Miami Heat
Sasha Danilovic,1892000,1996-97,1997,1996,Miami Heat
Adrian Dantley,515000,1984-85,1985,1984,Utah Jazz
Adrian Dantley,950000,1985-86,1986,1985,Utah Jazz
Adrian Dantley,950000,1987-88,1988,1987,Detroit Pistons
Adrian Dantley,1250000,1988-89,1989,1988,Detroit Pistons
Adrian Dantley,400000,1990-91,1991,1990,Milwaukee Bucks
Yinka Dare,920000,1994-95,1995,1994,New Jersey Nets
Yinka Dare,1184000,1995-96,1996,1995,New Jersey Nets
Yinka Dare,1448000,1996-97,1997,1996,New Jersey Nets
Yinka Dare,1552500,1997-98,1998,1997,New Jersey Nets
Yinka Dare,1657000,1998-99,1999,1998,Orlando Magic
Yinka Dare,1893500,1999-00,2000,1999,Orlando Magic
Gigi Datome,1750000,2014-15,2015,2014,Boston Celtics
Brad Daugherty,887500,1987-88,1988,1987,Cleveland Cavaliers
Brad Daugherty,987500,1988-89,1989,1988,Cleveland Cavaliers
Brad Daugherty,1100000,1989-90,1990,1989,Cleveland Cavaliers
Brad Daugherty,1320000,1990-91,1991,1990,Cleveland Cavaliers
Brad Daugherty,2245000,1991-92,1992,1991,Cleveland Cavaliers
Brad Daugherty,2923000,1992-93,1993,1992,Cleveland Cavaliers
Brad Daugherty,3541000,1993-94,1994,1993,Cleveland Cavaliers
Brad Daugherty,3800000,1994-95,1995,1994,Cleveland Cavaliers
Brad Daugherty,4700000,1995-96,1996,1995,Cleveland Cavaliers
Kornel David,287500,1998-99,1999,1998,Chicago Bulls
Kornel David,175882,1999-00,2000,1999,Chicago Bulls
Kornel David,27059,1999-00,2000,1999,Cleveland Cavaliers
Kornel David,498500,2000-01,2001,2000,Toronto Raptors
Jermareo Davidson,427163,2007-08,2008,2007,Charlotte Bobcats
Jermareo Davidson,422725,2008-09,2009,2008,Golden State Warriors
Anthony Davis,5144280,2012-13,2013,2012,New Orleans Hornets
Anthony Davis,5375760,2013-14,2014,2013,New Orleans Pelicans
Anthony Davis,5607240,2014-15,2015,2014,New Orleans Pelicans
Anthony Davis,7070730,2015-16,2016,2015,New Orleans Pelicans
Anthony Davis,22116750,2016-17,2017,2016,New Orleans Pelicans
Anthony Davis,23775506,2017-18,2018,2017,New Orleans Pelicans
Antonio Davis,565000,1993-94,1994,1993,Indiana Pacers
Antonio Davis,700000,1994-95,1995,1994,Indiana Pacers
Antonio Davis,800000,1995-96,1996,1995,Indiana Pacers
Antonio Davis,5200000,1996-97,1997,1996,Indiana Pacers
Antonio Davis,4500000,1997-98,1998,1997,Indiana Pacers
Antonio Davis,3500000,1998-99,1999,1998,Indiana Pacers
Antonio Davis,4200000,1999-00,2000,1999,Toronto Raptors
Antonio Davis,5500000,2000-01,2001,2000,Toronto Raptors
Antonio Davis,11000000,2001-02,2002,2001,Toronto Raptors
Antonio Davis,12000000,2002-03,2003,2002,Toronto Raptors
Antonio Davis,12925000,2003-04,2004,2003,Chicago Bulls
Antonio Davis,12925000,2004-05,2005,2004,Chicago Bulls
Antonio Davis,13925000,2005-06,2006,2005,New York Knicks
Baron Davis,2712480,1999-00,2000,1999,Charlotte Hornets
Baron Davis,2916000,2000-01,2001,2000,Charlotte Hornets
Baron Davis,3119400,2001-02,2002,2001,Charlotte Hornets
Baron Davis,3942922,2002-03,2003,2002,New Orleans Hornets
Baron Davis,10960000,2003-04,2004,2003,New Orleans Hornets
Baron Davis,12330000,2004-05,2005,2004,New Orleans Hornets
Baron Davis,13700000,2005-06,2006,2005,Golden State Warriors
Baron Davis,15070000,2006-07,2007,2006,Golden State Warriors
Baron Davis,16440000,2007-08,2008,2007,Golden State Warriors
Baron Davis,11250000,2008-09,2009,2008,Los Angeles Clippers
Baron Davis,12150000,2009-10,2010,2009,Los Angeles Clippers
Baron Davis,13000000,2010-11,2011,2010,Cleveland Cavaliers
Baron Davis,13900000,2011-12,2012,2011,Cleveland Cavaliers
Baron Davis,1352181,2011-12,2012,2011,New York Knicks
Baron Davis,14850000,2012-13,2013,2012,Cleveland Cavaliers
Ben Davis,220000,1996-97,1997,1996,Phoenix Suns
Ben Davis,25000,1997-98,1998,1997,Miami Heat
Ben Davis,425000,1998-99,1999,1998,New York Knicks
Ben Davis,45847,1999-00,2000,1999,Phoenix Suns
Ben Davis,176369,2003-04,2004,2003,Houston Rockets
Brad Davis,210000,1984-85,1985,1984,Dallas Mavericks
Brad Davis,215000,1985-86,1986,1985,Dallas Mavericks
Brad Davis,243100,1987-88,1988,1987,Dallas Mavericks
Brad Davis,300000,1988-89,1989,1988,Dallas Mavericks
Brad Davis,600000,1990-91,1991,1990,Dallas Mavericks
Brad Davis,600000,1991-92,1992,1991,Dallas Mavericks
Brian Davis,150000,1993-94,1994,1993,Minnesota Timberwolves
Charles Davis,90000,1985-86,1986,1985,Milwaukee Bucks
Charles Davis,150000,1988-89,1989,1988,Chicago Bulls
Dale Davis,430000,1991-92,1992,1991,Indiana Pacers
Dale Davis,559000,1992-93,1993,1992,Indiana Pacers
Dale Davis,688000,1993-94,1994,1993,Indiana Pacers
Dale Davis,4050000,1994-95,1995,1994,Indiana Pacers
Dale Davis,4050000,1995-96,1996,1995,Indiana Pacers
Dale Davis,6508000,1996-97,1997,1996,Indiana Pacers
Dale Davis,5273333,1997-98,1998,1997,Indiana Pacers
Dale Davis,4038000,1998-99,1999,1998,Indiana Pacers
Dale Davis,4490000,1999-00,2000,1999,Indiana Pacers
Dale Davis,6000000,2000-01,2001,2000,Portland Trail Blazers
Dale Davis,7010000,2001-02,2002,2001,Portland Trail Blazers
Dale Davis,8055000,2002-03,2003,2002,Portland Trail Blazers
Dale Davis,9061875,2003-04,2004,2003,Portland Trail Blazers
Dale Davis,10068750,2004-05,2005,2004,Golden State Warriors
Dale Davis,3500000,2005-06,2006,2005,Detroit Pistons
Dale Davis,3500000,2006-07,2007,2006,Detroit Pistons
Deyonta Davis,1369229,2016-17,2017,2016,Memphis Grizzlies
Deyonta Davis,1312611,2017-18,2018,2017,Memphis Grizzlies
Ed Davis,1919160,2010-11,2011,2010,Toronto Raptors
Ed Davis,2063040,2011-12,2012,2011,Toronto Raptors
Ed Davis,2207040,2012-13,2013,2012,Memphis Grizzlies
Ed Davis,3153860,2013-14,2014,2013,Memphis Grizzlies
Ed Davis,981084,2014-15,2015,2014,Los Angeles Lakers
Ed Davis,7000000,2015-16,2016,2015,Portland Trail Blazers
Ed Davis,6666667,2016-17,2017,2016,Portland Trail Blazers
Ed Davis,6352531,2017-18,2018,2017,Portland Trail Blazers
Emanual Davis,220000,1996-97,1997,1996,Houston Rockets
Emanual Davis,326700,1997-98,1998,1997,Houston Rockets
Emanual Davis,510000,1999-00,2000,1999,Seattle SuperSonics
Emanual Davis,610000,2000-01,2001,2000,Seattle SuperSonics
Emanual Davis,715850,2001-02,2002,2001,Atlanta Hawks
Emanual Davis,824935,2002-03,2003,2002,Atlanta Hawks
Glen Davis,427163,2007-08,2008,2007,Boston Celtics
Glen Davis,711517,2008-09,2009,2008,Boston Celtics
Glen Davis,3000000,2009-10,2010,2009,Boston Celtics
Glen Davis,3300000,2010-11,2011,2010,Boston Celtics
Glen Davis,6300000,2011-12,2012,2011,Orlando Magic
Glen Davis,6400000,2012-13,2013,2012,Orlando Magic
Glen Davis,6400000,2013-14,2014,2013,Orlando Magic
Glen Davis,6600000,2014-15,2015,2014,Orlando Magic
Glen Davis,1227985,2014-15,2015,2014,Los Angeles Clippers
Hubert Davis,588000,1992-93,1993,1992,New York Knicks
Hubert Davis,764000,1993-94,1994,1993,New York Knicks
Hubert Davis,940000,1994-95,1995,1994,New York Knicks
Hubert Davis,1116000,1995-96,1996,1995,New York Knicks
Hubert Davis,1295000,1996-97,1997,1996,Toronto Raptors
Hubert Davis,537500,1997-98,1998,1997,Dallas Mavericks
Hubert Davis,645000,1998-99,1999,1998,Dallas Mavericks
Hubert Davis,752500,1999-00,2000,1999,Dallas Mavericks
Hubert Davis,2100000,2000-01,2001,2000,Dallas Mavericks
Hubert Davis,2418750,2001-02,2002,2001,Washington Wizards
Hubert Davis,2687500,2002-03,2003,2002,Detroit Pistons
Hubert Davis,2956250,2003-04,2004,2003,Detroit Pistons
Johnny Davis,475000,1984-85,1985,1984,Cleveland Cavaliers
Johnny Davis,300000,1985-86,1986,1985,Cleveland Cavaliers
Josh Davis,620046,2004-05,2005,2004,Philadelphia 76ers
Josh Davis,131593,2005-06,2006,2005,Milwaukee Bucks
Josh Davis,43864,2005-06,2006,2005,Phoenix Suns
Josh Davis,17546,2005-06,2006,2005,Houston Rockets
Josh Davis,314041,2011-12,2012,2011,Memphis Grizzlies
Mark Davis,200000,1995-96,1996,1995,Minnesota Timberwolves
Mark Davis,247500,1996-97,1997,1996,Philadelphia 76ers
Mark Davis,326700,1997-98,1998,1997,Philadelphia 76ers
Mark Davis,6000,1999-00,2000,1999,Golden State Warriors
Paul Davis,412718,2006-07,2007,2006,Los Angeles Clippers
Paul Davis,687456,2007-08,2008,2007,Los Angeles Clippers
Paul Davis,328416,2008-09,2009,2008,Los Angeles Clippers
Paul Davis,80488,2009-10,2010,2009,Washington Wizards
Ricky Davis,680000,1998-99,1999,1998,Charlotte Hornets
Ricky Davis,878160,1999-00,2000,1999,Charlotte Hornets
Ricky Davis,939360,2000-01,2001,2000,Miami Heat
Ricky Davis,1496400,2001-02,2002,2001,Cleveland Cavaliers
Ricky Davis,4546000,2002-03,2003,2002,Cleveland Cavaliers
Ricky Davis,5000600,2003-04,2004,2003,Boston Celtics
Ricky Davis,5455200,2004-05,2005,2004,Boston Celtics
Ricky Davis,5909800,2005-06,2006,2005,Boston Celtics
Ricky Davis,6364400,2006-07,2007,2006,Minnesota Timberwolves
Ricky Davis,6819000,2007-08,2008,2007,Miami Heat
Ricky Davis,2300000,2008-09,2009,2008,Los Angeles Clippers
Ricky Davis,2484000,2009-10,2010,2009,Los Angeles Clippers
Terry Davis,250000,1990-91,1991,1990,Miami Heat
Terry Davis,382000,1991-92,1992,1991,Dallas Mavericks
Terry Davis,1537000,1992-93,1993,1992,Dallas Mavericks
Terry Davis,1200000,1993-94,1994,1993,Dallas Mavericks
Terry Davis,1560000,1994-95,1995,1994,Dallas Mavericks
Terry Davis,1920000,1995-96,1996,1995,Dallas Mavericks
Terry Davis,2300000,1996-97,1997,1996,Dallas Mavericks
Terry Davis,272250,1997-98,1998,1997,Washington Wizards
Terry Davis,1750000,1998-99,1999,1998,Washington Wizards
Terry Davis,1925000,1999-00,2000,1999,Orlando Magic
Terry Davis,923500,2000-01,2001,2000,Denver Nuggets
Walter Davis,670000,1984-85,1985,1984,Phoenix Suns
Walter Davis,680000,1985-86,1986,1985,Phoenix Suns
Walter Davis,750000,1987-88,1988,1987,Phoenix Suns
Walter Davis,600000,1988-89,1989,1988,Denver Nuggets
Walter Davis,900000,1990-91,1991,1990,Portland Trail Blazers
Walter Davis,1000000,1991-92,1992,1991,Portland Trail Blazers
Walter Davis,215000,1991-92,1992,1991,Denver Nuggets
Andre Dawkins,59686,2014-15,2015,2014,Boston Celtics
Darryl Dawkins,768000,1984-85,1985,1984,New Jersey Nets
Darryl Dawkins,808000,1985-86,1986,1985,New Jersey Nets
Darryl Dawkins,858000,1986-87,1987,1986,New Jersey Nets
Darryl Dawkins,300000,1988-89,1989,1988,Detroit Pistons
Johnny Dawkins,330000,1987-88,1988,1987,San Antonio Spurs
Johnny Dawkins,480000,1988-89,1989,1988,San Antonio Spurs
Johnny Dawkins,1500000,1990-91,1991,1990,Philadelphia 76ers
Johnny Dawkins,1700000,1991-92,1992,1991,Philadelphia 76ers
Johnny Dawkins,1900000,1992-93,1993,1992,Philadelphia 76ers
Johnny Dawkins,2100000,1993-94,1994,1993,Philadelphia 76ers
Johnny Dawkins,1680000,1994-95,1995,1994,Philadelphia 76ers
Johnny Dawkins,150000,1994-95,1995,1994,Detroit Pistons
Branden Dawson,525093,2015-16,2016,2015,Los Angeles Clippers
Eric Dawson,38172,2011-12,2012,2011,San Antonio Spurs
Todd Day,1325000,1992-93,1993,1992,Milwaukee Bucks
Todd Day,1723000,1993-94,1994,1993,Milwaukee Bucks
Todd Day,2120000,1994-95,1995,1994,Milwaukee Bucks
Todd Day,2518000,1995-96,1996,1995,Boston Celtics
Todd Day,2915000,1996-97,1997,1996,Boston Celtics
Todd Day,272250,1997-98,1998,1997,Miami Heat
Todd Day,510000,1999-00,2000,1999,Phoenix Suns
Todd Day,736000,2000-01,2001,2000,Minnesota Timberwolves
Austin Daye,1677840,2009-10,2010,2009,Detroit Pistons
Austin Daye,1803720,2010-11,2011,2010,Detroit Pistons
Austin Daye,1929600,2011-12,2012,2011,Detroit Pistons
Austin Daye,2958077,2012-13,2013,2012,Memphis Grizzlies
Austin Daye,947907,2013-14,2014,2013,Toronto Raptors
Austin Daye,1063384,2014-15,2015,2014,San Antonio Spurs
Austin Daye,125104,2014-15,2015,2014,Atlanta Hawks
Darren Daye,95000,1984-85,1985,1984,Washington Bullets
Darren Daye,120000,1985-86,1986,1985,Washington Bullets
Nando De Colo,1400000,2012-13,2013,2012,San Antonio Spurs
Nando De Colo,1463000,2013-14,2014,2013,San Antonio Spurs
Andrew DeClercq,230000,1995-96,1996,1995,Golden State Warriors
Andrew DeClercq,276000,1996-97,1997,1996,Golden State Warriors
Andrew DeClercq,1200000,1997-98,1998,1997,Boston Celtics
Andrew DeClercq,1440000,1998-99,1999,1998,Cleveland Cavaliers
Andrew DeClercq,1680000,1999-00,2000,1999,Cleveland Cavaliers
Andrew DeClercq,1920000,2000-01,2001,2000,Orlando Magic
Andrew DeClercq,2900000,2001-02,2002,2001,Orlando Magic
Andrew DeClercq,3262500,2002-03,2003,2002,Orlando Magic
Andrew DeClercq,2500000,2003-04,2004,2003,Orlando Magic
Andrew DeClercq,2500000,2004-05,2005,2004,Orlando Magic
Dewayne Dedmon,816482,2014-15,2015,2014,Orlando Magic
Dewayne Dedmon,947278,2015-16,2016,2015,Orlando Magic
Dewayne Dedmon,2898000,2016-17,2017,2016,San Antonio Spurs
Dewayne Dedmon,6000000,2017-18,2018,2017,Atlanta Hawks
Terry Dehere,1050000,1993-94,1994,1993,Los Angeles Clippers
Terry Dehere,1365000,1994-95,1995,1994,Los Angeles Clippers
Terry Dehere,1680000,1995-96,1996,1995,Los Angeles Clippers
Terry Dehere,1905000,1996-97,1997,1996,Los Angeles Clippers
Terry Dehere,500000,1997-98,1998,1997,Sacramento Kings
Terry Dehere,386125,1997-98,1998,1997,Los Angeles Clippers
Terry Dehere,575000,1998-99,1999,1998,Sacramento Kings
Terry Dehere,537500,1998-99,1999,1998,Vancouver Grizzlies
Terry Dehere,50000,1999-00,2000,1999,Indiana Pacers
Bryce Dejean-Jones,281659,2015-16,2016,2015,New Orleans Pelicans
Sam Dekker,1646400,2015-16,2016,2015,Houston Rockets
Sam Dekker,1720560,2016-17,2017,2016,Houston Rockets
Sam Dekker,1794600,2017-18,2018,2017,Los Angeles Clippers
Vinny Del Negro,175000,1988-89,1989,1988,Sacramento Kings
Vinny Del Negro,920000,1992-93,1993,1992,San Antonio Spurs
Vinny Del Negro,1195365,1993-94,1994,1993,San Antonio Spurs
Vinny Del Negro,1471000,1994-95,1995,1994,San Antonio Spurs
Vinny Del Negro,1747000,1995-96,1996,1995,San Antonio Spurs
Vinny Del Negro,2023000,1996-97,1997,1996,San Antonio Spurs
Vinny Del Negro,2298777,1997-98,1998,1997,San Antonio Spurs
Vinny Del Negro,1750000,1998-99,1999,1998,Milwaukee Bucks
Vinny Del Negro,1925000,1999-00,2000,1999,Milwaukee Bucks
Vinny Del Negro,2100000,2000-01,2001,2000,Golden State Warriors
Vinny Del Negro,2275000,2001-02,2002,2001,Los Angeles Clippers
Malcolm Delaney,2500000,2016-17,2017,2016,Atlanta Hawks
Malcolm Delaney,2500000,2017-18,2018,2017,Atlanta Hawks
Bison Dele,777000,1991-92,1992,1991,Orlando Magic
Bison Dele,1011000,1992-93,1993,1992,Orlando Magic
Bison Dele,1244000,1993-94,1994,1993,Denver Nuggets
Bison Dele,2000000,1994-95,1995,1994,Denver Nuggets
Bison Dele,2200000,1995-96,1996,1995,Los Angeles Clippers
Bison Dele,4050000,1997-98,1998,1997,Detroit Pistons
Bison Dele,4860000,1998-99,1999,1998,Detroit Pistons
Bison Dele,5770000,1999-00,2000,1999,Detroit Pistons
Carlos Delfino,901920,2004-05,2005,2004,Detroit Pistons
Carlos Delfino,969696,2005-06,2006,2005,Detroit Pistons
Carlos Delfino,1037280,2006-07,2007,2006,Detroit Pistons
Carlos Delfino,1868141,2007-08,2008,2007,Toronto Raptors
Carlos Delfino,3500000,2009-10,2010,2009,Milwaukee Bucks
Carlos Delfino,3500000,2010-11,2011,2010,Milwaukee Bucks
Carlos Delfino,3500000,2011-12,2012,2011,Milwaukee Bucks
Carlos Delfino,3000000,2012-13,2013,2012,Houston Rockets
Carlos Delfino,3250000,2013-14,2014,2013,Milwaukee Bucks
Carlos Delfino,650000,2014-15,2015,2014,Los Angeles Clippers
Carlos Delfino,650000,2015-16,2016,2015,Los Angeles Clippers
Carlos Delfino,650000,2016-17,2017,2016,Los Angeles Clippers
Carlos Delfino,650000,2017-18,2018,2017,Los Angeles Clippers
Tony Delk,870000,1996-97,1997,1996,Charlotte Hornets
Tony Delk,1000680,1997-98,1998,1997,Charlotte Hornets
Tony Delk,1131000,1998-99,1999,1998,Golden State Warriors
Tony Delk,485000,1999-00,2000,1999,Sacramento Kings
Tony Delk,2250000,2000-01,2001,2000,Phoenix Suns
Tony Delk,2475000,2001-02,2002,2001,Phoenix Suns
Tony Delk,2700000,2002-03,2003,2002,Boston Celtics
Tony Delk,2925000,2003-04,2004,2003,Dallas Mavericks
Tony Delk,2700000,2004-05,2005,2004,Atlanta Hawks
Tony Delk,3375000,2005-06,2006,2005,Atlanta Hawks
Matthew Dellavedova,816482,2014-15,2015,2014,Cleveland Cavaliers
Matthew Dellavedova,1147280,2015-16,2016,2015,Cleveland Cavaliers
Matthew Dellavedova,9607500,2016-17,2017,2016,Milwaukee Bucks
Matthew Dellavedova,9607500,2017-18,2018,2017,Milwaukee Bucks
Fennis Dembo,100000,1988-89,1989,1988,Detroit Pistons
Dell Demps,225000,1995-96,1996,1995,San Antonio Spurs
Luol Deng,2273400,2004-05,2005,2004,Chicago Bulls
Luol Deng,2443920,2005-06,2006,2005,Chicago Bulls
Luol Deng,2614440,2006-07,2007,2006,Chicago Bulls
Luol Deng,3320339,2007-08,2008,2007,Chicago Bulls
Luol Deng,9385000,2008-09,2009,2008,Chicago Bulls
Luol Deng,10370425,2009-10,2010,2009,Chicago Bulls
Luol Deng,11345000,2010-11,2011,2010,Chicago Bulls
Luol Deng,12325000,2011-12,2012,2011,Chicago Bulls
Luol Deng,13305000,2012-13,2013,2012,Chicago Bulls
Luol Deng,14275000,2013-14,2014,2013,Chicago Bulls
Luol Deng,9714461,2014-15,2015,2014,Miami Heat
Luol Deng,10151612,2015-16,2016,2015,Miami Heat
Luol Deng,18000000,2016-17,2017,2016,Los Angeles Lakers
Luol Deng,17190000,2017-18,2018,2017,Los Angeles Lakers
DeMar DeRozan,2282640,2009-10,2010,2009,Toronto Raptors
DeMar DeRozan,2453880,2010-11,2011,2010,Toronto Raptors
DeMar DeRozan,2625000,2011-12,2012,2011,Toronto Raptors
DeMar DeRozan,3344250,2012-13,2013,2012,Toronto Raptors
DeMar DeRozan,9500000,2013-14,2014,2013,Toronto Raptors
DeMar DeRozan,9500000,2014-15,2015,2014,Toronto Raptors
DeMar DeRozan,9500000,2015-16,2016,2015,Toronto Raptors
DeMar DeRozan,26540100,2016-17,2017,2016,Toronto Raptors
DeMar DeRozan,27739975,2017-18,2018,2017,Toronto Raptors
Derrick Dial,301875,1999-00,2000,1999,San Antonio Spurs
Derrick Dial,423500,2000-01,2001,2000,San Antonio Spurs
Derrick Dial,540850,2001-02,2002,2001,New Jersey Nets
Derrick Dial,32375,2003-04,2004,2003,Orlando Magic
Cheick Diallo,543471,2016-17,2017,2016,New Orleans Pelicans
Cheick Diallo,1312611,2017-18,2018,2017,New Orleans Pelicans
Boris Diaw,1021080,2003-04,2004,2003,Atlanta Hawks
Boris Diaw,1097640,2004-05,2005,2004,Atlanta Hawks
Boris Diaw,1174200,2005-06,2006,2005,Phoenix Suns
Boris Diaw,1870501,2006-07,2007,2006,Phoenix Suns
Boris Diaw,9000000,2007-08,2008,2007,Phoenix Suns
Boris Diaw,9000000,2008-09,2009,2008,Charlotte Bobcats
Boris Diaw,9000000,2009-10,2010,2009,Charlotte Bobcats
Boris Diaw,9000000,2010-11,2011,2010,Charlotte Bobcats
Boris Diaw,9000000,2011-12,2012,2011,Charlotte Bobcats
Boris Diaw,4500000,2012-13,2013,2012,San Antonio Spurs
Boris Diaw,4702500,2013-14,2014,2013,San Antonio Spurs
Boris Diaw,7500000,2014-15,2015,2014,San Antonio Spurs
Boris Diaw,7000000,2015-16,2016,2015,San Antonio Spurs
Boris Diaw,7000000,2016-17,2017,2016,Utah Jazz
Yakhouba Diawara,412718,2006-07,2007,2006,Denver Nuggets
Yakhouba Diawara,687456,2007-08,2008,2007,Denver Nuggets
Yakhouba Diawara,875000,2008-09,2009,2008,Miami Heat
Yakhouba Diawara,945000,2009-10,2010,2009,Miami Heat
Guillermo Diaz,56065,2007-08,2008,2007,Los Angeles Clippers
Dan Dickau,776880,2002-03,2003,2002,Atlanta Hawks
Dan Dickau,835200,2003-04,2004,2003,Atlanta Hawks
Dan Dickau,893400,2004-05,2005,2004,New Orleans Hornets
Dan Dickau,2250000,2005-06,2006,2005,Boston Celtics
Dan Dickau,2753218,2006-07,2007,2006,Portland Trail Blazers
Dan Dickau,2990028,2007-08,2008,2007,New York Knicks
Dan Dickau,926678,2007-08,2008,2007,Los Angeles Clippers
Kaniel Dickens,264011,2003-04,2004,2003,Portland Trail Blazers
Kaniel Dickens,483938,2004-05,2005,2004,New Jersey Nets
Kaniel Dickens,31305,2005-06,2006,2005,Los Angeles Clippers
Kaniel Dickens,264897,2007-08,2008,2007,Cleveland Cavaliers
Michael Dickerson,949600,1998-99,1999,1998,Houston Rockets
Michael Dickerson,1224960,1999-00,2000,1999,Vancouver Grizzlies
Michael Dickerson,1310400,2000-01,2001,2000,Vancouver Grizzlies
Michael Dickerson,1940702,2001-02,2002,2001,Memphis Grizzlies
